10.130,7.107
10.189,7.519
10.290,7.9278
10.445,8.255
10.660,8.440
10.935,8.441
11.253,8.242
11.595,7.845
11.931,7.269
12.229,6.551
12.458,5.741
12.591,4.906
12.613,4.130
12.520,3.509
12.319,3.153
12.021,3.169
11.626,3.643
11.115,4.591
10.461,5.917
9.675,7.419
8.834,8.868
8.053,10.099
7.426,11.046
6.999,11.703
6.777,12.094
6.738,12.250
6.852,12.200
7.086,11.972
7.409,11.592
7.792,11.085
8.209,10.477
8.629,9.798
9.022,9.084
9.364,8.377
9.637,7.725
9.834,7.180
9.961,6.7888
10.033,6.586
10.071,6.585
10.097,6.773
